,question,answer,context
12048,"Did you know that users can enable device-specific Openbank alerts by selecting the ""Device Profile"" option in the account settings as of January 1, 2023?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509440-",
12049,"Can I receive real-time Openbank alert notifications on my device even when it is locked by enabling the ""Always-On Display"" setting as of June 15, 2023?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509672-",
12050,"How do I access historical statements stored on the Openbank app for accounts that have a statement generation limit of 10,000 transactions per quarter?","To access historical statements stored on the Openbank app for accounts that have a statement generation limit of 10,000 transactions per quarter, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia."
12052,"Did you know that users with an ""Elite VIP"" account can enable daily summary reports for their Openbank alerts starting from January 1, 2024?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509679-",
12054,What steps should I follow to access my statements if they are currently being held in a virtual wallet due to an ongoing transaction processing fee refund policy?,"To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0."
12057,How do I retrieve my statements from the Openbank application if they have been encrypted and archived under a special case identifier XYZ-789 according to our data retention policy?,"To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12058,"How do I retrieve my statements from the Openbank platform if they are currently locked under a 2-hour maintenance window initiated by our IT team on October 1st, 2023?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12061,How can I retrieve my financial statements using the Openbank app if I've recently updated my privacy settings to include only encrypted data transmission?,"To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12063,What are the procedures for accessing my statements if they have been transferred to a joint account with another user named Alex Thompson that was established in June 2022?,"To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
12064,"Could you explain how I can access my Openbank app statements when they are currently being held due to an internal review process initiated by our compliance department on December 15th, 2023?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money in: Pending payments, transfers on hold, funds availability** If your transfer is pending, visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Incoming Transfer Requests. If your transfer is on hold, please say 'speak to agent' or press 0 - so that you can confirm your transaction information before it can be released. Funds availability depends on how you made the deposit. Openbank does offer same-day availability for funds deposited by direct deposit and some other electronic deposits, as well as for wire transfers. If you initiated your transfer request from the Openbank app, it takes 1 to 4 business days for your money to arrive in your high yield savings account, at which point you'll start earning interest."
12066,Could you guide me through accessing my statements via the Openbank app after I've logged into two separate accounts with different usernames and passwords that were created last year?,"1. Sign in to the Openbank app on your trusted mobile device. 
2. Select the account you want to view. 
3. Your transaction history will be displayed. 
4. To find your high yield savings account documents, click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. 
5. Then select Document Center. 
6. You will then see options for Statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Add, remove biometrics: Apple Face ID, Touch ID, Android fingerprint ID** A trusted mobile device is required, biometrics are strongly recommended. Openbank strongly recommends enabling fingerprint or facial recognition biometrics, as it provides you with an extra layer of security and streamlines access to your account. To add biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to add Face ID or Touch ID. If you're using an Android device, follow the prompts to add fingerprint ID biometrics. We've created step-by-step demos for both Apple and Android devices. If you have an apple device, visit openbank.us forward slash apple dash setup. If you're using an Android device, please visit openbank.us forward slash android dash setup. To remove biometrics, go to the device settings on your smartphone or tablet. If you're using an Apple device, follow the prompts to remove Face ID or Touch ID. If you're using an Android device, follow the prompts to remove fingerprint ID biometrics."
12069,"Could you walk me through retrieving my statements from the Openbank platform when they are currently being held due to an internal audit process initiated after receiving feedback from a third-party regulator on January 15th, 2026 that resulted in temporary restrictions on account access?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12070,"What steps should I follow to access my statements in the Openbank app after configuring them to be automatically deleted after seven years of non-use, which begins on January 1st, 2024?","To access your statements in the Openbank app after configuring them to be automatically deleted after seven years of non-use, which begins on January 1st, 2024, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Add, update, remove beneficiary** To add a beneficiary to your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select Add a new beneficiary and follow the directions. To update or remove a beneficiary from your Openbank high yield savings account, sign in to the Openbank app. Select the account you want to update, then click on My beneficiaries, which you'll find on the menu on the right-hand side. Then select the beneficiary you would like to update or remove and follow the instructions. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements."
12071,"What options are available for viewing account statements if they have been flagged by our fraud detection system for suspicious transaction patterns resembling those associated with money laundering activities detected during the week of July 12th, 2025?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
12074,"Did you know that users with an ""Ultra-Low-Risk"" account can enable delayed Openbank alert notifications by setting the delay time in the ""Alert Delay Settings"" section starting from February 1, 2023?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509447-",
12076,"How can I retrieve my Openbank app statements if they have been transferred to a secondary storage location for disaster recovery purposes after the primary data center suffered an unexpected outage on August 10th, 2024?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12077,"Could you explain how I can view account statements if they are currently being held in a secure off-site location as part of our disaster recovery plan initiated after the loss of our main data center on October 10th, 2025 due to natural disasters?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Add, update trusted mobile device** A trusted mobile device is required, biometrics are strongly recommended. A trusted mobile device is a smartphone that verifies that the only person who can access and perform sensitive actions on your account is you. A trusted mobile device is required. To add a trusted mobile device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet. Setting it up is a quick and easy 2-minute process. A trusted mobile device is required. To update a trusted mobile device, deregister your current device, then add your new device. Sign in to your account on the app. Go to Security settings. Under Device management deregister your current device. To add your new device, download the app and sign into your account, at which point you'll be automatically prompted to set up your phone or tablet."
12080,What steps should I follow to view my statements on the Openbank app when I last logged in from the IP address 192.168.1.200?,"To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Move money out** To move money out of your high yield savings account, sign in to the Openbank app on your trusted mobile device. Visit the Transfer and Pay section of the app. Once you open that section, navigate to the Manage and Activity tab and select Manage my recipients. If you're sending money to an existing recipient, the process is easy: just select their name, then select Move money out and follow the directions. If you're sending money to a new recipient, select Add new recipient. Follow the prompts to add your recipient's account type, routing number, and account number, as well as their name and an optional nickname. Once you confirm the information, select their name, then select Move money out and follow the directions."
12084,Could you walk me through accessing my statements via the Openbank application after I've enabled an external API connection for integration with our partner's financial analytics platform called FinTech Insights Pro?,"To access your statements via the Openbank application, first sign in to the app on your trusted mobile device. Then, click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. From the menu that appears, select Document Center. In the Document Center, you will see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. Select Statements to view your high yield savings account statements. Note that as a digital bank, Openbank does not provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Enable notifications** To enable alerts for the Openbank app on your smartphone or tablet, open Notifications in your device settings, then scroll down to the Openbank app and make sure that notifications are allowed."
12087,"Could you explain how I can retrieve my statements from the Openbank application if they have been encrypted using our proprietary end-to-end encryption protocol and stored in a secure enclave within our data center located in Austin, Texas?","To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements.","**Transaction history, dispute** To view your transaction history, sign in to the Openbank app on your trusted mobile device. Select the account you want to view. Your transaction history will be displayed. To dispute a transaction on your statement, please say 'speak to agent' or press 0. **Document Center: Statements, letters, notices, tax documents, account disclosures, public disclosures** To find your high yield savings account documents, sign in to the Openbank app on your trusted mobile device and click on the icon with three horizontal bars in the upper left-hand corner, next to the Openbank logo. Then select Document Center. You will then see options for Statements, Letters and Notices, Tax Documents, Account Disclosures, and Public Disclosures. As a digital bank, Openbank doesn't provide paper statements. **Open account** Applying for a high yield savings account at Openbank usually takes less than 5 minutes. Visit openbank.us and select Open savings account on the home page. You can also open an account using Openbank's mobile banking app, which is available for free on the App Store or Google Play. To open an account, you'll need to: Make a minimum initial deposit of $500. Be at least 18 years old. Have a U.S. mobile phone number. Download the Openbank app onto a smartphone, which will become your trusted mobile device. Be a U.S. Citizen or a U.S. Resident Alien with a valid residential address within the 50 United States and District of Columbia."
12093,"Did you know that users can enable Openbank alerts for transactions made using the ""Digital Wallet"" feature on their devices as of September 15, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509683-",
12096,"Did the bank accidentally deposit your interest into a ""Foreign Interest Deposit Account"" denominated in Euros on December 15th, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421466-509464-",
12100,"Can I set up Openbank alert notifications for my ""Prime Savings Account"" ending in YYY starting from January 15, 2023, by selecting the ""Savings Alert Settings"" option?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509680-",
12102,"What steps should you take if you notice that the interest was deposited into an account called ""Interest Earned International Investment Portfolio"" instead of your primary savings account on April 5th, 2021?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509704-",
12103,"What steps should you take if you notice that the interest was deposited into an account called ""Interest Earned International Investment Portfolio in Euros"" instead of your primary savings account on December 31st, 2018?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509709-",
12109,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio"" on June 30th, 2021?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509470-",
12113,"What steps should you take if you notice that the interest was deposited into an account called ""Interest Earned Investment Portfolio"" instead of your primary savings account on September 5th, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509702-",
12114,"What would you do if you found out that the interest was deposited into an account named ""Interest Reserve Trust Fund"" on November 20th, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509467-",
12117,"Did the bank mistakenly deposit your interest into a ""Customer Overdraft Protection"" account on April 1st, 2023?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509697-",
12123,"Did the bank mistakenly deposit your interest into a ""Customer Overdraft Protection Euro Account"" named ""Overdraft Safety Fund Euros"" on May 10th, 2021?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509472-",
12125,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio in Euros"" on June 30th, 2013?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509713-",
12127,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio in Euros"" on February 28th, 2019?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509707-",
12129,"Did the bank mistakenly deposit your interest into a ""Customer Overdraft Protection Account"" named ""Overdraft Safety Fund"" on October 10th, 2022?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509471-",
12131,"What steps should you take if you notice that the interest was deposited into an account called ""Interest Earned International Investment Portfolio in Euros"" instead of your primary savings account on April 5th, 2012?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509482-",
12132,"Did the bank mistakenly deposit your interest into a ""Customer Overdraft Protection Euro Account"" named ""Overdraft Safety Fund Euros"" on January 20th, 2019?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509475-",
12135,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio in Euros"" on October 5th, 2008?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509488-",
12137,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio in Euros"" on February 28th, 2011?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509720-",
12140,"What steps should you take if you notice that the interest was deposited into an account called ""Interest Earned International Investment Portfolio in Euros"" instead of your primary savings account on August 20th, 2007?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi17a.nonprod.corpint.net-2916328-509724-",
12142,"Did the bank mistakenly deposit your interest into a ""Customer Overdraft Protection Euro Account"" named ""Overdraft Safety Fund Euros"" on September 10th, 2016?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509477-",
12146,"What would you do if you discovered that the interest was deposited into an account called ""Interest Earned International Portfolio in Euros"" on October 5th, 2016?","Error 500: {
    ""errors"": [
        {
            ""code"": ""rchdlvaseapi18a.nonprod.corpint.net-2421465-509478-",
